query11.log,19:07.65
query12.log,0:05.82
query13.log,0:23.74
query15.log,0:15.37
query16.log,0:34.09
query17.log,0:06.96
query18.log,0:37.77
query19.log,0:01.07
query1.log,41:32.24
query20.log,0:04.34
query21.log,0:03.72
query22.log,2:22.58
query23.log,13:18.43
query24.log,1:37.07
query25.log,0:05.49
query26.log,0:37.97
query27.log,0:52.73
query28.log,0:43.38
query29.log,0:04.29
query2.log,0:43.16
query30.log,1:28.77
query31.log,4:23.79
query32.log,0:04.22
query33.log,0:48.89
query34.log,0:43.39
query36.log,0:43.29
query37.log,0:01.78
query38.log,1:47.40
query39.log,1:19.05
query3.log,0:00.06
query40.log,0:01.31
query41.log,0:54.18
query42.log,0:00.42
query43.log,0:15.86
query44.log,0:26.49
query45.log,0:08.65
query46.log,0:46.01
query47.log,2:01.38
query48.log,0:22.93
query49.log,0:03.51
query4.log,28:22.17
query50.log,0:07.71
query51.log,2:23.31
query52.log,0:00.66
query53.log,0:02.35
query54.log,6:18.77
query55.log,0:00.32
query56.log,0:02.52
query57.log,1:10.48
query58.log,4:39.78
query59.log,1:23.04
query60.log,0:10.85
query61.log,0:06.06
query62.log,0:19.48
query63.log,0:02.00
query64.log,0:11.74
query65.log,1:39.38
query66.log,0:14.18
query67.log,1:42.53
query68.log,0:39.84
query69.log,1:03.87
query6.log,1:28:19
query70.log,1:40.02
query71.log,0:51.25
query72.log,0:49.73
query73.log,0:43.57
query74.log,5:52.20
query75.log,0:35.61
query76.log,0:19.87
query77.log,1:12.90
query78.log,4:23.34
query79.log,1:32.73
query7.log,1:13.20
query80.log,0:06.23
query81.log,1:11.36
query82.log,0:02.52
query83.log,0:01.74
query84.log,0:02.09
query85.log,0:04.16
query86.log,0:08.01
query87.log,1:19.64
query88.log,4:21.26
query89.log,0:07.72
query8.log,0:42.69
query90.log,0:10.56
query91.log,0:02.43
query92.log,0:01.15
query93.log,0:01.32
query94.log,0:08.03
query95.log,2:51.97
query96.log,0:21.42
query97.log,1:48.42
query98.log,0:09.42
query99.log,0:35.39
query9.log,0:57.88
